ambito,ubigeo,region,actasContabilizadas,contabilizadas,totalActas,pendientesJee,enviadasJee,keiko_actual,sanchez_actual,keiko_proyectado,sanchez_proyectado,diferencia_proyectada_keiko,ganador_proyectado
1,010000,AMAZONAS,99.844,1276,1278,0,2,69159,125440,69267,125636,-56369,Sánchez
1,020000,ÁNCASH,98.704,3427,3472,0,45,267472,348824,270984,353404,-82420,Sánchez
1,030000,APURÍMAC,99.241,1307,1317,0,10,43132,185825,43462,187246,-143784,Sánchez
1,040000,AREQUIPA,99.383,4189,4215,0,26,332286,580426,334349,584029,-249680,Sánchez
1,050000,AYACUCHO,99.211,1885,1900,0,15,66849,256362,67381,258401,-191020,Sánchez
1,060000,CAJAMARCA,99.552,4221,4240,0,19,244864,492139,245966,494354,-248388,Sánchez
1,240000,CALLAO,98.413,2852,2898,0,46,397248,208603,403654,211967,191687,Keiko
1,070000,CUSCO,98.619,3928,3983,0,55,164717,588619,167024,596862,-429838,Sánchez
1,080000,HUANCAVELICA,99.136,1262,1273,0,11,36707,160659,37027,162059,-125032,Sánchez
1,090000,HUÁNUCO,99.146,2321,2341,0,20,139754,249970,140958,252123,-111165,Sánchez
1,100000,ICA,99.386,2428,2443,0,15,280566,259849,282299,261454,20845,Keiko
1,110000,JUNÍN,99.404,3669,3691,0,22,321850,392405,323780,394758,-70978,Sánchez
1,120000,LA LIBERTAD,99.415,5271,5302,0,31,600510,443238,604044,445846,158198,Keiko
1,130000,LAMBAYEQUE,99.638,3577,3590,0,13,435721,304695,437304,305802,131502,Keiko
1,140000,LIMA,96.998,28369,29247,0,878,3949954,2269736,4072201,2339982,1732219,Keiko
1,150000,LORETO,98.776,2664,2697,0,33,211382,187754,214001,190081,23920,Keiko
1,160000,MADRE DE DIOS,99.014,502,507,0,5,29115,65432,29405,66084,-36679,Sánchez
1,170000,MOQUEGUA,99.654,576,578,0,2,33353,88235,33469,88541,-55072,Sánchez
1,180000,PASCO,98.13,787,802,0,15,50606,78478,51570,79974,-28404,Sánchez
1,190000,PIURA,98.921,5224,5281,0,57,583221,440425,589583,445229,144354,Keiko
1,200000,PUNO,99.293,3373,3397,0,24,95674,608930,96355,613266,-516911,Sánchez
1,210000,SAN MARTÍN,99.448,2520,2534,0,14,218127,262583,219338,264041,-44703,Sánchez
1,220000,TACNA,98.751,1028,1041,0,13,65417,163032,66244,165094,-98850,Sánchez
1,230000,TUMBES,99.684,630,632,0,2,81960,45427,82220,45571,36649,Keiko
1,250000,UCAYALI,97.698,1528,1564,0,36,139870,126251,143166,129226,13940,Keiko
